Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,168.09479,-79.406673,90,top
C2,0.1uF,C_0402_1005Metric,165.140138,-89.325087,-90,top
C3,0.1uF,C_0402_1005Metric,158.379481,-80.206715,180,top
C4,0.1uF,C_0402_1005Metric,168.368721,-84.788945,0,top
C5,0.1uF,C_0402_1005Metric,168.277812,-80.837647,0,top
C6,0.1uF,C_0402_1005Metric,157.577919,-85.032096,180,top
C7,0.1uF,C_0402_1005Metric,164.240059,-75.451954,90,top
C8,0.1uF,C_0402_1005Metric,167.029762,-79.041389,90,top
C9,0.1uF,C_0402_1005Metric,163.314044,-75.449777,90,top
C10,1uF,C_0402_1005Metric,166.258185,-89.291561,-90,top
C11,0.1uF,C_0402_1005Metric,165.937724,-78.540642,90,top
C12,0.1uF,C_0402_1005Metric,162.328472,-75.459162,90,top
C13,10uF,C_0603_1608Metric,156.786707,-69.71037,-90,top
C14,10uF,C_0603_1608Metric,165.649569,-69.510029,-90,top
C15,33pF,C_0402_1005Metric,159.777743,-91.129262,-90,top
C16,33pF,C_0402_1005Metric,165.134333,-91.138788,90,top
C17,0.1uF,C_0402_1005Metric,159.792875,-74.418061,180,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,163.115625,-56.771875,180,top
J2,Conn_01x20,PinSocket_1x20_P2.54mm_Vertical,154.225625,-55.641875,0,top
J3,Conn_01x20,PinSocket_1x20_P2.54mm_Vertical,172.005625,-55.641875,0,top
J4,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,160.575625,-103.661875,90,top
R1,5.1K,R_0402_1005Metric,164.394777,-63.058838,-90,top
R2,5.1K,R_0402_1005Metric,161.373806,-63.08221,-90,top
R3,27,R_0402_1005Metric,163.840607,-78.431261,-90,top
R4,27,R_0402_1005Metric,164.780607,-78.431261,-90,top
R5,1K,R_0402_1005Metric,162.652626,-88.870549,0,top
R6,1K,R_0402_1005Metric,163.115625,-93.918125,0,top
R7,10K,R_0402_1005Metric,157.736536,-74.379629,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,163.115625,-98.469375,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,163.115625,-83.771875,0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,161.163319,-69.426151,-90,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,158.883718,-76.158379,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,162.446271,-91.119341,180,top